State,Year,0 to 11,12 to 17,Male,Female,Unknown Gender,White,Black,Amer. Indian/Alaskan Native,Asian/Nat. Hawaiian/Pac Isl,Unknown Race,Pattern
IL,2011,-0.34596717777600594,0.3573741173263059,0.4089606964939156,-0.632546551198449,-0.10510389060631,-0.1059732463531651,0.8020896937976008,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IL,2012,-0.34596717777600594,0.5272742411881433,0.5207079553150167,0.29419589530197987,-0.10510389060631,0.09048071084569732,0.9234264700768247,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IL,2013,-0.34596717777600594,0.42108666377449494,0.4760090517865762,-0.632546551198449,-0.10510389060631,0.20835308516501477,0.5594161412391528,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IL,2014,-0.34596717777600594,0.3786116328090356,0.4089606964939156,-0.014718253531496415,-0.10510389060631,-0.1059732463531651,0.8425352858906754,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IL,2015,-0.34596717777600594,0.08128641605082021,0.11841782355905285,-0.632546551198449,-0.10510389060631,-0.1452640377929376,0.27629699658763035,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IL,2016,-0.34596717777600594,0.48479921022268396,0.453659600022356,0.6031100441354562,-0.10510389060631,-0.06668245491339263,0.9638720621698993,-0.3365566445941464,0.27725167572547926,-0.17441905007072317,3
IL,2017,1.438597982164635,0.16623647798173888,0.14076727532327307,0.6031100441354562,-0.10510389060631,0.011899127966152351,0.3571881807737796,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IN,1980,-0.34596717777600594,-0.1948012852246655,-0.1944745011400301,-0.3236324023649727,-0.10510389060631,-0.1059732463531651,-0.2899412927154146,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,1981,1.438597982164635,-0.1948012852246655,-0.17212504937580989,-0.3236324023649727,-0.10510389060631,0.1297715022854698,-0.41127806899463853,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,1982,-0.34596717777600594,-0.04613867684555781,-0.03802833879048863,-0.3236324023649727,-0.10510389060631,-0.22384562067248256,0.07406903612225715,-0.3365566445941464,-0.2264911699210134,0.5785104663102237,0
IN,1983,-0.34596717777600594,-0.15232625425920615,-0.1944745011400301,0.29419589530197987,-0.10510389060631,-0.027391663473620136,-0.24949570062233994,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,1984,1.438597982164635,-0.23727631619012485,-0.2168239529042503,-0.3236324023649727,-0.10510389060631,-0.06668245491339263,-0.3303868848084892,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,1985,-0.34596717777600594,-0.10985122329374682,-0.14977559761158968,-0.014718253531496415,-0.10510389060631,-0.06668245491339263,-0.12815892434311604,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,1986,-0.34596717777600594,-0.15232625425920615,-0.14977559761158968,-0.3236324023649727,-0.10510389060631,0.09048071084569732,-0.37083247690156385,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,1987,-0.34596717777600594,-0.4071764400519622,-0.395619567018012,-0.632546551198449,-0.10510389060631,-0.2631364121122551,-0.4921692531807878,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,1988,-0.34596717777600594,-0.1310887387764765,-0.12742614584736947,-0.3236324023649727,-0.10510389060631,0.20835308516501477,-0.45172366108771317,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,1989,-0.34596717777600594,-0.15232625425920615,-0.14977559761158968,-0.3236324023649727,-0.10510389060631,-0.06668245491339263,-0.24949570062233994,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,1990,1.438597982164635,0.0175738696026312,0.029020016502172008,-0.3236324023649727,2.759369307111929,-0.22384562067248256,0.27629699658763035,-0.3365566445941464,-0.2264911699210134,0.5785104663102237,3
IN,1991,-0.34596717777600594,0.03881138508536087,0.029020016502172008,-0.3236324023649727,-0.10510389060631,-0.1452640377929376,0.23585140449455572,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,1992,-0.34596717777600594,-0.10985122329374682,-0.1944745011400301,0.9120241929689324,-0.10510389060631,-0.06668245491339263,-0.0877133322500414,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,1993,-0.34596717777600594,-0.06737619232828748,-0.060377790554708835,-0.3236324023649727,-0.10510389060631,-0.18455482923271008,0.07406903612225715,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,1994,-0.34596717777600594,0.3786116328090356,0.4089606964939156,-0.3236324023649727,-0.10510389060631,0.16906229372524229,0.5594161412391528,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IN,1995,1.438597982164635,0.3573741173263059,0.3642617929654752,0.6031100441354562,-0.10510389060631,0.24764387660478726,0.5189705491460782,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IN,1996,-0.34596717777600594,0.2299490244299279,0.2301650823801539,-0.3236324023649727,-0.10510389060631,-0.027391663473620136,0.4785249570530036,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,1997,-0.34596717777600594,-0.08861370781101716,-0.08272724231892904,-0.3236324023649727,-0.10510389060631,-0.18455482923271008,0.03362344402918252,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,1998,-0.34596717777600594,-0.02490116136282814,-0.060377790554708835,-0.014718253531496415,-0.10510389060631,0.051189919405924836,-0.0877133322500414,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IN,1999,-0.34596717777600594,0.20871150894719823,0.2301650823801539,-0.3236324023649727,-0.10510389060631,0.011899127966152351,0.3571881807737796,-0.3365566445941464,0.27725167572547926,-0.17441905007072317,0
IN,2000,3.223163142105276,-0.2797513471555842,-0.2168239529042503,-0.632546551198449,-0.10510389060631,-0.3417179949918,-0.12815892434311604,-0.3365566445941464,-0.2264911699210134,0.5785104663102237,3
